en;nl;fr;de;sv;pl;No;es
Postal code;Postcode;Code postal;Postleitzahl;Postnummer;Kod pocztowy;Postnummer;Código Postal
City;Stad;Ville;Stadt;Stad;Miasto;By;Ciudad
Country;Land;Pays;Land;Land;Kraj;Land;País
IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN;IBAN
CoC/KvK Number;CoC/KvK Nummer;Numéro CoC/KvK;Nummer der Handelskammer;CoC/KvK-nummer;Nr REGON;CoC/KvK-nummer;Número CoC/KvK
VAT/BTW Number;VAT/BTW Nummer;Numéro de TVA/BTW;Umsatzsteuer Identifikationsnummer (USt-ID);Moms/BTW-nummer;Nr VAT;MVA/BTW-nummer;Número de IVA/BTW
Transfer;Overdragen;Transfert;übertragen;Överföring;Przekaż;Overføre;Transferir
Copy;Kopiëren;Copie;kopieren;Kopia;Kopiuj;Kopi;Copiar
Delete;Verwijderen;Supprimer;entfernen / löschen;Radera;Usuń;Slette;Borrar
Accept;Accepteren;Accepter;Akzeptieren;Acceptera;Akcpetuj;Godta;Aceptar
Decline;Weigeren;Refuser;ablehnen;Avslå;Oodrzuć;Avslå;Rechazar
Document;Document;Document;Dokument;Dokument;Dokument;Dokument;Documento
Submit;Indienen;Soumettre;Einreichen;Skicka in;Prześlij;Send inn;Entregar
Seller;Verkoper;Vendeur;Verkaüfer;Säljare;Sprzedawca;Selger;Vendedor
Customer;Klant;Client;Kunde;Kund;Klient;Kunde;Cliente
Ship to;Verzend naar;Envoyer à;senden an;Skicka till;Wysyłka do;Send til;Envie a
Ship to customer;Verzend naar klant;Expédier au client;An den Kunden senden;Skicka till kunden;Wysylka do Klienta;Send til kunde;Enviar al cliente
Status;Status;Statut;Status;Status;Status;Status;Estado
Details;Details;Détails;Details;Uppgifter;Szczegóły;Detaljer;Detalles
Language;Taal;Langue;Sprache;Språk;Język;Språk;Idioma
Currency;Valuta;Devise;Währung;Valuta;Waluta;Valuta;Divisa
Exchange rate;Wisselkoers;Taux de change;Wechselkurs;Växelkurs;Kurs wymiany;Valutakurs;Tipo de cambio
Delivery date;Bezorgdatum;Date de livraison;Lieferdatum;Leveransdatum;Termin zakończenia produkcji;Leveringsdato;Fecha de entrega
Expires Date;Vervalt datum;Date d'expiration;Verfällt am Datum / Verfallsdatum;Utgångsdatum;Data wygaśnięcia;Utløpsdato;Fecha de caducidad
Template;Template;Modèle;Vorlage;Mall;Szablon;Mal;Plantilla
Subject;Onderwerp;Sujet;Thema;Ämne;Temat;Tema;Sujeto
Quotation reference;Offerte referentie;Référence du devis;Angebotsreferenz;Referens för offert;Nr Oferty;Referanse på tilbudet;Referencia de cotización
Remarks;Opmerkingen;Remarques;Kommentare;Anmärkningar;Uwagi;Merknader;Observaciones
Files;Bestanden;Fichiers;Dateien;Filer;Pliki;Filer;archivos
Attach file;Bestand toevoegen;Joindre un fichier;Datei hinzufügen;Bifoga fil;Załącz plik;Legg ved fil;Adjuntar archivo
Edit configuration;Configuratie aanpassen;Modifier la configuration;Konfiguration anpassen;Redigera konfigurationen;Edytuj konfigurację;Rediger konfigurasjon;Editar configuración
Actions;Acties;Actions;Handlungen;Åtgärder;Działania;Handlinger;Comportamiento
Total price excl. VAT;Totaalprijs exclusief BTW;Prix total hors TVA;Gesamtpreis inclusieve Mehrwertsteuer;Totalpris exkl. moms;Cena całkowita bez VAT;Totalpris ekskl. mva;Precio total excl. IVA
Add product configuration;Configuratie toevoegen;Ajouter la configuration du produit;Konfiguration hinzufügen;Lägg till produktkonfiguration;Dodaj konfigurację produktu;Legge til produktkonfigurasjon;Añadir configuración de producto
Add existing feature;Bestaande feature toevoegen;Ajouter une fonctionnalité existante;Verfügbare Funktion hinzufügen;Lägg till befintlig funktion;Dodaj istniejące wyposażenie;Legg til eksisterende funksjon;Agregar característica existente
Discount;Korting;Remise;Rabatt;Rabatt;Rabat;Rabatt;Descuento
Organization;Organisatie;Organisation;Unternehmen;Organisation;Organizacja;Organisasjon;Organización
Packing difference;Verpakkingsverschil;Différence d'emballage;Verpackungsunterschied;Skillnad i förpackning;Różnica w pakowaniu;Forskjell i forpakning;diferencia de embalaje
Subtotal cost price;Subtotale kostprijs;Sous-total prix de revient;Teilgesamtkosten;Totalsumma kostnadspris;Koszt własny dla sumy częściowej;Delsum kostpris;Precio de coste subtotal
Purchase discount (wholesale);Inkoopkorting (staffelkorting);Remise sur achat (vente en gros);Einkaufsrabatt (Gruppenrabatt);Inköpsrabatt (grossist);Rabat na zakup (sprzedaż hurtowa);Kjøpsrabatt (engros);Descuento de compra (al por mayor)
Total cost price;Totale kostprijs;Prix de revient total;Gesamtkosten;Totalt inköpspris;Całkowity koszt własny;Total kostpris;precio de costo total
Total margin;Totale marge;Marge totale;Gesamtmarge;Total marginal;Całkowita marża;Totalmargin;Margen total
Apply VAT;BTW toepassen;Appliquer la TVA;MwSt. anwenden;Ange moms;Zastosuj VAT;Angi merverdiavgift;Aplicar IVA
Edit group name;Groepsnaam aanpassen;Modifier le nom du groupe;Gruppenname anpassen;Redigera gruppnamn;Edytuj nazwę grupy;Redigere gruppenavn;Editar nombre del grupo
Subtotal;Subtotaal;Sous-total;Zwischensumme;Totalsumma;Suma częściowa;Delsum;Total parcial
Assign new associated feature;Nieuwe associated feature toewijzen;Attribuer une nouvelle caractéristique associée;Neues zugehöriges Funktion zuweisen;Tilldela ny associerad funktion;Przypisywanie nowego, powiązanego wyposażenia;Tilordne ny tilknyttet funksjon;Asignar nueva función asociada
or;of;ou;oder;Eller;lub;eller;o
Create new associated feature;Nieuwe associated feature maken;Créer une nouvelle caractéristique associée;Neues zugehöriges Funktion erstellen;Skapa en ny associerad funktion;Tworzenie nowego, powiązanego wyposażenia;Opprett ny tilknyttet funksjon;Crear nueva función asociada
Assign to features;Toewijzen aan features;Affecter à des caractéristiques;Funktionen zuordnen;Tilldela funktioner;Przypisanie do wyposażeń;Tilordne funksjoner;Asignar a características
Assign property to feature(s);Eigenschap toewijzen aan feature(s);Attribuer une propriété à une ou plusieurs caractéristiques;Eigenschaft zu Funktion(en) zuordnen;Tilldela egenskap till funktion(er);Przypisywanie opisu do wyposażenia;Tilordne egenskap til funksjon(er);Asignar propiedad a las características
Features with property;Features met eigenschap;Caractéristiques avec propriété;Funktionen mit Eigenschaft;Funktioner med egenskap;Wyposażenie z cechami;Funksjoner med egenskaper;Características con propiedad
Name;Naam;Nom;Name;Namn;Nazwa;Navn;Nombre
Type;Type;Type;Typ;Typ;Typ;Type;Tipo
Input;Invoer;Entrée;Eingabe;Inmatning;Wkład;Innput;Aporte
Associated features;Associated features;Caractéristiques associées;Zugehörige Funktionen;Tillhörande egenskaper;Wyposażenie powiązane;Tilknyttede funksjoner;Características asociadas
Text;Tekst;Texte;Text;Text;Tekst;Tekst;Texto
Multi-line text;Multi-line tekst;Texte à plusieurs lignes;Mehrzeiliger Text;Text med flera rader;Tekst wielowierszowy;Tekst med flere linjer;Texto de varias líneas
Number;Nummer;Nombre;Nummer;Antal;Numer;Nummer;Número
Toggle;Toggle;Basculer;Umschalten;Växla mellan;Przełącz;Veksle;Palanca
Date;Datum;Date;Datum;Datum;Data;Dato;Fecha
Field select (dropdown);Veld selectie (dropdown);Sélection de champ (liste déroulante);Feldauswahl (Dropdown);Fältval ( dropdown);Wybór pola (lista rozwijana);Feltvalg (rullegardinliste);Selección de campo (desplegable)
Code;Code;Code;Code;Kod;Kod;Kode;Código
Constraints;Constraints;Contraintes;Auflagen;Restriktioner;Ograniczenia;Begrensninger;Restricciones
Preview changes;Preview wijzigingen;Prévisualiser les modifications;Vorschau Änderungen;Förhandsgranskning av ändringar;Podgląd zmian;Forhåndsvise endringer;Vista previa de cambios
Add new feature;Nieuwe feature toevoegen;Ajouter une nouvelle fonctionnalité;Neue Funktion hinzufügen;Lägg till en ny funktion;Dodaj nowe wyposażenie;Legg til ny funksjon;Agregar nueva función
Add configuration model;Configuratie model toevoegen;Ajouter un modèle de configuration;Konfiguration hinzufügen;Lägg till en konfigurationsmodell;Dodaj nowe wyposażenie do;Legge til konfigurasjonsmodell;Agregar modelo de configuración
Add dynamic group;Dynamische groep toevoegen;Ajouter un groupe dynamique;Dynamische Gruppe hinzufügen;Lägg till en dynamisk grupp;Dodaj model konfiguracji;Legge til dynamisk gruppe;Añadir grupo dinámico
Edit dynamic group;Dynamische groep bewerken;Modifier un groupe dynamique;Dynamische Gruppe ändern;Redigera en dynamisk grupp;Dodaj grupę dynamiczną;Redigere dynamisk gruppe;Editar grupo dinámico
Remove dynamic group;Dynamische groep verwijderen;Supprimer un groupe dynamique;Dynamische Gruppe entfernen;Ta bort en dynamisk grupp;Edytuj grupę dynamiczną;Fjern dynamisk gruppe;Eliminar grupo dinámico
History;Geschiedenis;Historique;Verlauf;Historik;Usuń grupę dynamiczną;Historie;Historia
Publish;Publiceren;Publier;Publizieren;Publicera;Historia;Publisere;Publicar
Legend;Legenda;Légende;Beschreibung;Legend;Opublikuj;Legende;Leyenda
item(s) selected;geselecteerde item(s);élément(s) sélectionné(s);Element(e) ausgewählt;vald(a) artikel(er);Legenda;Element(er) valgt;elemento(s) seleccionado(s)
Deselect all;Deselecteer alles;Désélectionner tout;Alle abwählen;Avmarkera alla;wybrany/e obiekt/y;Fjern merkingen av alle;Deseleccionar todo
Change category;Wijzig categorie;Changer de catégorie;Kategorie ändern;Ändra kategori;Odznacz wszystko;Endre kategori;Cambiar categoría
Change feature;Wijzig feature;Modifier la fonction;Funktion ändern;Ändra funktion;Zmień kategorię;Endre funksjon;Cambiar función
Highlight to constraints;Benadruk beperkingen van;Mettre en évidence les contraintes;Highlight zu Einschränkungen;Markera för restriktioner;Zmień wyposażenie;Fremhev til begrensninger;Resaltar a las restricciones
Highlight from constraints;Benadrukken beperkingen naar;Mettre en évidence à partir des contraintes;Highlight aus Einschränkungen;Markera från restriktioner;Wyróżnienie ograniczeń;Uthev fra begrensninger;Resaltar de las restricciones
Edit type;Type bewerken;Type d'édition;Typ bearbeiten;Redigera typ;Wyróżnienie z ograniczeń;Rediger type;Editar tipo
Fields;Velden;Champs;Felder;Fält;Typ edycji;Felt;Campos
Add new field;Nieuw veld toevoegen;Ajouter un nouveau champ;Neues Feld hinzufügen;Lägg till ett nytt fält;Pola;Legg til nytt felt;Agregar nuevo campo
Optional;Optioneel;Facultatif;Optional;Valfritt;Dodaj nowe pola;Valgfri;Opcional
Mandatory;Verplicht;Obligatoire;Obligatorisch;Obligatoriskt;Opcjonalny;Obligatorisk;Obligatorio
Alternative;Alternatief;Autre possibilité :;Alternativ;Alternativ;Obowiązkowe;Alternativ;Alternativa
Or;Of;Ou;Oder;Eller;Alternatywnie;Eller;O
Hide in quotation;Verbergen in offerte;Cacher dans le devis;Im Angebot verbergen;Dölj i offert;lub;Skjul i tilbud;Ocultar en la cita
Hide in showroom;Verbergen in showroom;Masquer dans la salle d'exposition;Im Showroom verbergen;Dölj i showroom;Ukryj w ofercie;Skjul i showroom;Ocultar en la sala de exposición
Hide in order entry;Verbergen in orderinvoer;Masquer dans la saisie de la commande;Im Auftrag verbergen;Dölj i orderingången;Ukryj w showroom;Skjul for oppføring;Ocultar en la entrada del pedido
Paste;Plakken;Coller;Einfügen;Klistra in;Ukryj we wprowadzaniu zamówienia;Lime inn;Pegar
Switch to configuration model;Schakel over naar het configuratiemodel;Passer au modèle de configuration;Zum Konfigurationsmodell wechseln;Växla till konfigurationsmodell;Wklej;Bytt til konfigurasjonsmodell;Cambiar al modelo de configuración
OR;OF;OU;OR;OR;Przełącz na model konfiguracji;ELLER;O
Showroom;Showroom;Salle d'exposition;Showroom;Showroom;LUB;Showroom;Sala de exposición
Order Entry;Order Entry;Entrée des commandes;Auftragserfassung;Ingång av beställningar;Showroom;Bestill registrering;Orden de entrada
Restore;Herstellen;Restaurer;Wiederherstellen;Återställ;Wprowadzenie zamówienia;Gjenopprette;Restaurar
Configuration model was last published at;Configuratiemodel is voor het laatst gepubliceerd op;Le modèle de configuration a été publié pour la dernière fois à l'adresse;Das Konfigurationsmodell wurde zeletzt veröffentlicht auf;Konfigurationsmodell publicerades senast på;Przywróć;Konfigurasjonsmodellen ble sist publisert p?;El modelo de configuración se publicó por última vez en
Content was last published at;Inhoud is voor het laatst gepubliceerd op;Le contenu a été publié pour la dernière fois à;Der Inhalt wurde zuletzt veröffentlicht auf;Innehållet publicerades senast på;Model konfiguracji został ostatnio opublikowany na stronie;Innholdet ble sist publisert p?;El contenido se publicó por última vez en
Subcategories;Subcategorie;Sous-catégories;Subkategorien;Subkategorier;Zawartość została ostatnio opublikowana na stronie;Underkategorier;Subcategorías
Edit;Bewerk;Modifier;Bearbeiten;Redigera;Podkategorie;Redigere;Editar
Add subcategory;Subcategorie toevoegen;Ajouter une sous-catégorie;Subkategorie hinzufügen;Lägg till en subkategori;Edytuj;Legg til underkategori;Añadir subcategoría
Unassign;Toewijzing ongedaan maken;Désassigner;Zuweisung aufheben;Ta bort;Dodaj podkategorię;Fjern tilordning;Desasignar
Unassign features;Toewijzing van features ongedaan maken;Désassigner des fonctionnalités;Zugewiesene Funktionen aufheben;Ta bort funktioner;Cofnij przypisanie;Oppheve funksjoner;Cancelar asignación de funciones
Assigned features;Toegewezen features;Fonctions assignées;Zugewiesene Funktionen;Tilldelade funktioner;Cofnij przypisanie wysposażenia;Tilordnede funksjoner;Funciones asignadas
Assign features;Features toewijzen;Affecter des caractéristiques;Funktionen zuordnen;Tilldela funktioner;Przypisane wyposażenie;Tilordne funksjoner;Asignar características
Order entry;Orderinvoer;Entrée de commande;Auftragseingang;Orderingång;Przypisz wyposażenie;Bestill registrering;Orden de entrada
Publish all;Publiceer alle linked modellen;Publier tout;Alles publizieren;Publicera alla;Wprowadzanie zamówień;Publiser alle;publicar todo
Purchase Discount;Aankoopkorting;Remise sur achat;Einkaufsrabatt;Inköpsrabatt;Publikuj wszystko;Kjøpsrabatt;Descuento de la compra
Sellable;Verkoopbaar;Vendable;Verkaufbar;Säljbar;Rabat od zakupu;Salgbar;vendible
Default margin;Standaardmarge;Marge par défaut;Standard marge;Standardmarginal;Sprzedawalne;Standardmarg;Margen predeterminado
Showroom prices;Showroom prijzen;Prix de la salle d'exposition;Showroom-Preise;Priser i showroom;Domyślna marża;Showroompriser;Precios de la sala de exposición
Add image;Voeg afbeelding toe;Ajouter une image;Bild hinzufügen;Lägg till en bild;Cena showroom;Legg til bilde;Añadir imagen
Edit step;Stap bewerken;Modifier l'étape;Schritt bearbeiten;Redigera steg;Dodaj obraz;Rediger steg;Editar paso
Delete step;Stap verwijderen;Supprimer l'étape;Schritt löschen;Radera steg;Edytuj krok;Slett steg;Eliminar paso
Move left;Ga naar links;Déplacer à gauche;Nach links verschieben;Flytta till vänster;Usuń krok;Flytt til venstre;Mover hacia la izquierda
Move right;Ga naar rechts;Déplacer vers la droite;Nach rechts verschieben;Flytta till höger;Przesuń na lewo;Flytte til høyre;Mover a la derecha
Features in step;Features in stap;Caractéristiques de l'étape;Funktionen im Schritt;Funktioner i steget;Przesuń na prawo;Funksjoner i steget;Características en el paso
Add hotspot;Voeg hotspot toe;Ajouter un hotspot;Hotspot hinzufügen;Lägg till hotspot;Wyposażenie w krokach;Legg til hotspot;Agregar punto de acceso
Edit background;Achtergrond bewerken;Modifier l'arrière-plan;Hintergrund bearbeiten;Redigera bakgrund;Dodaj hotspot;Rediger bakgrunn;Editar fondo
Add new step;Voeg een nieuwe stap toe;Ajouter une nouvelle étape;Neuen Schritt hinzufügen;Lägg till ett nytt steg;Edytuj tło;Legg til nytt steg;Agregar nuevo paso
Click here to create a step;Klik hier om een stap te maken;Cliquez ici pour créer une étape;Klicken Sie hier, um einen Schritt zu erstellen;Klicka här för och skapa ett steg;Dodaj nowy krok;Klikk her for å opprette et steg;Haga clic aquí para crear un paso
Select a model from Autodesk storage;Selecteer een model uit Autodesk-opslag;Sélectionner un modèle à partir du stockage Autodesk;Wählen Sie ein Modell aus dem Autodesk-Speicher;Välj en modell från Autodesk-lagret;Naciśnij tu aby stworzyć krok;Velg en modell fra Autodesk-lagring;Seleccione un modelo del almacenamiento de Autodesk
Cancel;Annuleren;Annuler;Abbrechen;Avbryt;Wybierz model z magazynu Autodesk;Annullere;Cancelar
Attachment nodes;Bevestigingsknooppunten;Nœuds d'attachement;Attachement-Knoten;Knutpunkter för bifogade objekt;Anuluj;Vedlegg noder;Nodos adjuntos
Rotation;Rotatie;Rotation;Drehung;Rotation;Karty załączników;Rotasjon;Rotación
Add attachment node;Voeg bevestigingsknooppunt toe;Ajouter un nœud d'attachement;Anhängeknoten hinzufügen;Lägg till en knutpunkt för bifogade filer;Obrót;Legg til vedleggsnode;Agregar nodo adjunto
Upload a 3d model;Upload een 3D-model;Télécharger un modèle 3d;Hochladen eines 3D-modells;Ladda upp en 3d-modell;Dodawanie karty załącznika;Laste opp en 3d-modell;Subir un modelo 3d
Drop a template file or click to browse;Zet een sjabloonbestand neer of klik om te bladeren;Déposez un fichier modèle ou cliquez pour le parcourir;Eine Vorlagendatei ablegen oder zum Durchsuchen klicken;Lägg ner en mallfil eller klicka för att bläddra;Prześlij model 3D;Slipp en malfil eller klikk for ?la gjennom;Suelte un archivo de plantilla o haga clic para navegar
Upload;Uploaden;Télécharger;Hochladen von;Ladda upp;Zrzuć plik szablonu lub kliknij aby przeglądać;Opplasting;Subir
Download XML scheme;XML-schema downloaden;Télécharger un modèle XML;XML-Schema herunterladen;Ladda ner XML-schemat;Prześlij;Last ned XML-skjema;Descargar esquema XML
Download;Download;Télécharger;Herunterladen;Ladda ner;Pobierz schemat XML;Last ned;Descargar
Default;Standaard;Défaut;Standard;Standard;Pobierz;Standard;Por defecto
Allow all;Sta alles toe;Autoriser tout;Alle zulassen;Tillåt alla;Domyślny;Tillat alle;Permitir todo
Order;Volgorde;Commande;Auftrag;Beställning;Zezwalaj na wszystko;Ordre;Orden
Publish All;Publiceer Alles;Publier tout;Alles Publizieren;Publicera alla;Zamówienie;Publiser alle;publicar todo
Is required;Is benodigd;Est obligatoire;Ist erforderlich;Krävs;Publikuj wszystko;Er påkrevd;Se requiere
Is read-only;Is alleen te lezen;Est en lecture seule;Ist nur lesbar;Är skrivskyddat;Jest wymagane;Er skrivebeskyttet;Sólo lectura
Terms & Conditions;Algemene voorwaarden;Conditions générales de vente;Bedingungen und Konditionen;Villkor;Tylko do odczytu;Vilkår og betingelser;Términos y condiciones
Last seen;Laatst gezien;Dernière visite;Zuletzt gesehen;Senaste setts;Regulamin;Sist sett;Ultima vez visto
2-FA;2-FA;2-FA;2-FA;2-FA;Ostatnio widziany;2-FA;2-FA
Sub-organization;Suborganisatie;Sous-organisation;Sub-Organisation;Suborganisation;2-FA;Underorganisasjon;Sub-organización
Access to;Toegang tot;Accès au;Zugang zu;Tillgång till;Spółka zależna;Tilgang til;Acceso a
CRM account;CRM-account;Compte CRM;CRM-Konto;CRM-konto;Dostęp do;CRM-konto;cuenta CRM
Contact;Contact;Contact;Kontakt;Kontakta;Konto CRM;Kontakt;Contacto
Permissions;Rechten;Permissions;Berechtigungen;Behörigheter;Kontakt;Tillatelser;permisos
User creation requests;Verzoeken om gebruikers aan te maken;Demandes de création d'utilisateur;Anfragen zur Benutzererstellung;Förfrågningar om skapande av användare;Uprawnienia;Forespørsler om opprettelse av brukere;Solicitudes de creación de usuarios
Resend activation mail;Activeringsmail opnieuw verzenden;Renvoyer le mail d'activation;Aktivierungsmail erneut senden;Skicka om aktiveringsbrev;Prośby użytkownika o utworzenie;Sende aktiverings-e-post på nytt;Reenviar correo de activación
Two-factor auth.;Twee-factor auth.;Autorisation à deux facteurs;Zwei-Faktor-Authentifizierung;Tvåfaktorsautentisering.;Wyślij ponownie wiadomość aktywacyjną;To-faktor autentisering.;Autenticación de dos factores.
Disable;Uitschakelen;Désactiver;Deaktivieren;Inaktivera;Uwierzytelnienie dwuskładnikowe;Deaktivere;Desactivar
Configuration model versioning;Configuratiemodel versiebeheer;Gestion des versions du modèle de configuration;Versionierung des Konfigurationsmodells;Versionen av konfigurationsmodellen;Wyłącz;Versjonskontroll for konfigurasjonsmodell;Control de versiones del modelo de configuración
Enable this for configuration model versioning. All the changes made to the configuration model will be saved as a draft, which can be previewed. All the changes must be published explicitly to come into effect for the end-users.;Schakel dit in voor versiebeheer van configuratiemodellen. Alle wijzigingen die in het configuratiemodel zijn aangebracht, worden opgeslagen als concept, dat kan worden bekeken. Alle wijzigingen moeten expliciet worden gepubliceerd om van kracht te worden voor de eindgebruikers.;Activez cette option pour le gestion des versions du modèle de configuration. Toutes les modifications apportées au modèle de configuration seront enregistrées en tant que brouillon, qui peut être prévisualisé. Toutes les modifications doivent être publiées explicitement pour être prises en compte par les utilisateurs finaux.;Aktivieren Sie diese Option für die Versionierung des Konfigurationsmodells. Alle am Konfigurationsmodell vorgenommenen Änderungen werden als Entwurf gespeichert, der in der Vorschau angezeigt werden kann. Alle Änderungen müssen explizit veröffentlicht werden, um für die Endbenutzer wirksam zu werden.;Aktivera detta för versionering av konfigurationsmodeller. Samtliga ändringar som görs i konfigurationsmodellen sparas som ett utkast och kan förhandsgranskas. Alla ändringar måste offentliggöras tydligt för att träda i kraft för användarna.;Wersja modelu konfiguracji;;Habilite esto para el control de versiones del modelo de configuración. Todos los cambios realizados en el modelo de configuración se guardarán como un borrador, que se puede previsualizar. Todos los cambios deben publicarse explícitamente para que entren en vigor para los usuarios finales.
"Aktiver dette for versjonskontroll av konfigurasjonsmodellen. Alle endringene som gjøres i konfigurasjonsmodellen lagres som et utkast, som kan forhåndsvises. Alle endringene må publiseres eksplisitt for å tre i kraft for sluttbrukerne.""";;;;;Włącz tę opcję dla przechowywania wersji modelu konfiguracji. Wszystkie zmiany wprowadzone w modelu konfiguracji zostaną zapisane jako wersja robocza, której podgląd można wyświetlić. Wszystkie zmiany muszą zostać wyraźnie opublikowane, aby mogły zostać wprowadzone w życie dla użytkowników końcowych.;;"Active esta opción para controlar la versión del modelo de configuración. Todos los cambios realizados en el modelo de configuración se guardan como borrador, que puede previsualizarse. Todos los cambios deben publicarse explícitamente para que surtan efecto para los usuarios finales."""
Configuration model specific prices for features;Configuratiemodel specifieke prijzen voor features;Prix des fonctionnalités spécifiques au modèle de configuration;Konfiguration modellspezifischer Preise für Funktionen;Specifika priser för funktioner i konfigurationsmodellen;Ceny wyposażenia specyficznego dla modelu konfiguracji;Spesifikke priser for konfigurasjonsmodell for funksjoner;Precios específicos del modelo de configuración para características
Enable this to have different feature prices per configuration model. This allows you to have different prices for the same feature, based on the configuration model the feature is in. An extra option will show up in the Relationship properties dialog in the configuration model editor to add a fixed value or a formula to overwrite the feature price.;Schakel dit in om prijzen voor een feature te bepalen per configuratiemodel. Hierdoor kun je verschillende prijzen hebben voor dezelfde feature, op basis van het configuratiemodel waarin de feature zich bevindt. Er verschijnt een extra optie in de Relatie-eigenschappen dialoog in de configuratiemodeleditor om een vaste waarde of een formule toe te voegen om de featureprijs te overschrijven.;Activez cette option pour avoir des prix différents pour les fonctionnalités par modèle de configuration. Cela vous permet d'avoir des prix différents pour la même fonctionnalité, en fonction du modèle de configuration dans lequel la fonctionnalité se trouve. Une option supplémentaire s'affiche dans la boîte de dialogue des propriétés de la relation dans l'éditeur de modèle de configuration pour ajouter une valeur fixée ou une formule permettant de remplacer le prix de la fonctionnalité.;Aktivieren Sie diese Option, um unterschiedliche Preise für ein Funktion pro Konfigurationsmodell zu haben. So können Sie unterschiedliche Preise für ein und dasselbe Funktion haben, je nachdem, in welchem Konfigurationsmodell sich das Funktion befindet. Im Dialog Beziehungseigenschaften im Konfigurationsmodell-Editor wird eine zusätzliche Option angezeigt, mit der Sie einen festen Wert oder eine Formel zum Überschreiben des Funktionspreises hinzufügen können.;Aktivera detta för att ha olika funktionspriser per konfigurationsmodell. Så här kan du ha olika priser för samma funktion, beroende på vilken konfigurationsmodell funktionen finns i. Ett extra alternativ visas i dialogrutan;Włącz tę opcję, aby mieć różne ceny wyposażenia dla każdego modelu konfiguracji. Umożliwia to różne ceny tej samego wyposażenia, w zależności od modelu konfiguracji, w którym wyposażenie się znajduje. W oknie dialogowym Właściwości relacji w edytorze modelu konfiguracji pojawi się dodatkowa opcja umożliwiająca dodanie stałej wartości lub formuły zastępującej cenę elementu.;Aktiver dette for ?a forskjellige funksjonspriser per konfigurasjonsmodell. Dette gjør at du kan ha forskjellige priser for samme funksjon, basert p?onfigurasjonsmodellen funksjonen er i. I dialogboksen Relasjonsegenskaper i konfigurasjonsmodelleditoren vises et ekstra alternativ for ?egge til en fast verdi eller en formel for ?verskrive funksjonsprisen.;Activar esta opción para tener diferentes precios por modelo de configuración. Esto le permite tener diferents precios para la misma caracterísica, basándose en el modele de configuración en el que se encuentra la característica. Aparecerá una opción extra en el diálogo de propiedaded de la relación en el editor del modelo de configuración para añadir un valor fijo o una fórmula para sobrescribir el precio de la característica.
Show code in configuration models;Code tonen in configuratie modellen;Prix des caractéristiques spécifiques aux modèles de configuration;Code in Konfigurationsmodellen zeigen;Relationsegenskaper i konfigurationsmodellen för att lägga till ett fast värde eller en formula för att skriva över funktionspriset.;Pokaż kod w modelach konfiguracji;Vis kode i konfigurasjonsmodeller;Mostrar código en modelos de configuración
Enable this to show a Feature's Code next to its Name on the configuration model pages.;Schakel dit in om de feature code naast de naam ervan op de configuratiemodelpagina's te tonen.;Activez cette option pour afficher le code d'une fonctionnalité à côté de son nom sur les pages du modèle de configuration;Aktivieren Sie dies, um den Code eines Funktions neben seinem Namen auf den Konfigurationsmodellseiten anzuzeigen;Visa kod i konfigurationsmodeller;Włącz to zobaczyć Kod Wyposażenia  obok jego nazwy na stronach modelu konfiguracji;Aktiver dette for ?ise en funksjonskode ved siden av navnet p?onfigurasjonsmodellsidene.;Habilite esto para mostrar el código de una función junto a su nombre en las páginas del modelo de configuración.
Disable EMS conflict dialog;Schakel EMS-conflictdialoog uit;Désactiver le dialogue de conflit EMS;EMS-Konfliktdialog deaktivieren;Slå på knappen om du vill visa en funktions kod bredvid sitt namn.;Wyłącz okna dialogowego konfliktów EMS;Deaktiver dialogboks for EMS-konflikt;Deshabilitar diálogo de conflicto de EMS
Disable Showroom conflict dialog;Schakel Showroom-conflictdialoog uit;Désactiver le dialogue de conflit du showroom;Showroom-Konfkliktdialog deaktivieren;Inaktivera dialogrutan för EMS-konflikter;Wyłącz dialog konfliktu w Showroom;Deaktiver konfliktdialogboks for showroom;Deshabilitar diálogo de conflicto de Showroom
